ID,Role,Starting Password,Note
ADMIN,Administrator,admin123,Must be changed on first login
L1A,Clerk,l1a123,Must be changed on first login
L1B,Clerk,l1b123,Must be changed on first login
L1C,Clerk,l1c123,Must be changed on first login
L1D,Clerk,l1d123,Must be changed on first login
L1E,Clerk,l1e123,Must be changed on first login
L1F,Clerk,l1f123,Must be changed on first login
L1G,Clerk,l1g123,Must be changed on first login
L1H,Clerk,l1h123,Must be changed on first login
L1I,Clerk,l1i123,Must be changed on first login
L1J,Clerk,l1j123,Must be changed on first login
L1K,Clerk,l1k123,Must be changed on first login
L1L,Clerk,l1l123,Must be changed on first login
L1M,Clerk,l1m123,Must be changed on first login
L1N,Clerk,l1n123,Must be changed on first login
L1O,Clerk,l1o123,Must be changed on first login
L1P,Clerk,l1p123,Must be changed on first login
L1Q,Clerk,l1q123,Must be changed on first login
L1R,Clerk,l1r123,Must be changed on first login
L1S,Clerk,l1s123,Must be changed on first login
L1T,Clerk,l1t123,Must be changed on first login
L1U,Clerk,l1u123,Must be changed on first login
L1V,Clerk,l1v123,Must be changed on first login
L1W,Clerk,l1w123,Must be changed on first login
L1X,Clerk,l1x123,Must be changed on first login
L1Y,Clerk,l1y123,Must be changed on first login
L1Z,Clerk,l1z123,Must be changed on first login
L1AA,Clerk,l1aa123,Must be changed on first login
L1AB,Clerk,l1ab123,Must be changed on first login
L1AC,Clerk,l1ac123,Must be changed on first login
L1AD,Clerk,l1ad123,Must be changed on first login
L2A,Junior Manager,l2a123,Must be changed on first login
L2B,Junior Manager,l2b123,Must be changed on first login
L2C,Junior Manager,l2c123,Must be changed on first login
L2D,Junior Manager,l2d123,Must be changed on first login
L2E,Junior Manager,l2e123,Must be changed on first login
L2F,Junior Manager,l2f123,Must be changed on first login
L2G,Junior Manager,l2g123,Must be changed on first login
L2H,Junior Manager,l2h123,Must be changed on first login
L2I,Junior Manager,l2i123,Must be changed on first login
L2J,Junior Manager,l2j123,Must be changed on first login
L2K,Junior Manager,l2k123,Must be changed on first login
L2L,Junior Manager,l2l123,Must be changed on first login
L2M,Junior Manager,l2m123,Must be changed on first login
L2N,Junior Manager,l2n123,Must be changed on first login
L2O,Junior Manager,l2o123,Must be changed on first login
L2P,Junior Manager,l2p123,Must be changed on first login
L2Q,Junior Manager,l2q123,Must be changed on first login
L2R,Junior Manager,l2r123,Must be changed on first login
L2S,Junior Manager,l2s123,Must be changed on first login
L2T,Junior Manager,l2t123,Must be changed on first login
L3A,Senior Manager,l3a123,Must be changed on first login
L3B,Senior Manager,l3b123,Must be changed on first login
L3C,Senior Manager,l3c123,Must be changed on first login
L3D,Senior Manager,l3d123,Must be changed on first login
L3E,Senior Manager,l3e123,Must be changed on first login
L3F,Senior Manager,l3f123,Must be changed on first login
L3G,Senior Manager,l3g123,Must be changed on first login
L3H,Senior Manager,l3h123,Must be changed on first login
L3I,Senior Manager,l3i123,Must be changed on first login
L3J,Senior Manager,l3j123,Must be changed on first login
L3K,Senior Manager,l3k123,Must be changed on first login
L3L,Senior Manager,l3l123,Must be changed on first login
L3M,Senior Manager,l3m123,Must be changed on first login
L3N,Senior Manager,l3n123,Must be changed on first login
L3O,Senior Manager,l3o123,Must be changed on first login
L4A,Supervisor,l4a123,Must be changed on first login
L4B,Supervisor,l4b123,Must be changed on first login
L4C,Supervisor,l4c123,Must be changed on first login
L4D,Supervisor,l4d123,Must be changed on first login
L4E,Supervisor,l4e123,Must be changed on first login
L4F,Supervisor,l4f123,Must be changed on first login
L4G,Supervisor,l4g123,Must be changed on first login
L4H,Supervisor,l4h123,Must be changed on first login
L4I,Supervisor,l4i123,Must be changed on first login
L4J,Supervisor,l4j123,Must be changed on first login
L5A,Senior Supervisor,l5a123,Must be changed on first login
L5B,Senior Supervisor,l5b123,Must be changed on first login
L5C,Senior Supervisor,l5c123,Must be changed on first login
L5D,Senior Supervisor,l5d123,Must be changed on first login
L5E,Senior Supervisor,l5e123,Must be changed on first login
L6A,Senior Supervisor II,l6a123,Must be changed on first login
L6B,Senior Supervisor II,l6b123,Must be changed on first login
L6C,Senior Supervisor II,l6c123,Must be changed on first login
L7A,Boss,l7a123,Must be changed on first login
L8A,Level 8,l8a123,Must be changed on first login
L9A,Level 9,l9a123,Must be changed on first login
L10A,Level 10,l10a123,Must be changed on first login
L11A,Level 11,l11a123,Must be changed on first login
